Observation id	15-B				
					
Media file(s)					
					
Player #1	/Volumes/Untitled/Maters Experiment Videos/8-8/15-1-B.MTS				
					
Observation date	2016-08-23 22:50:46				
					
Description					
					
Time offset (s)	0.0				
					
independent variables					
variable	value				
					
Time	Subject	Behavior	Modifier 1	Comment	Status
19.45		F	V		START
75.348		F	V		STOP
75.349		F	T		START
96.658		F	T		STOP
96.659		F	V		START
125.917		F	V		STOP
125.918		F	T		START
139.697		B	D		POINT
141.556		F	T		STOP
141.557		F	V		START
167.936		F	V		STOP
167.937		F	T		START
170.64		B	D		POINT
182.311		B	P		POINT
185.438		B	A		POINT
187.807		B	D		POINT
189.329		B	P		POINT
189.531		B	A		POINT
230.326		F	T		STOP
230.327		F	V		START
235.906		B	W		POINT
241.315		B	M		POINT
292.456		B	W		POINT
294.416		I			POINT
310.719		B	A		POINT
313.676		F	V		STOP
313.677		F	T		START
322.296		B	D		POINT
330.833		F	T		STOP
330.834		F	V		START
351.042		B	D		POINT
382.909		B	R		POINT
398.047		B	R		POINT
422.816		B	P		POINT
423.832		F	V		STOP
423.833		F	T		START
438.119		F	T		STOP
438.12		F	V		START
444.373		B	P		POINT
459.169		B	A		POINT
459.674		B	P		POINT
480.721		B	A		POINT
524.18		F	V		STOP
524.181		F	T		START
525.278		B	A		POINT
530.014		B	P		POINT
533.395		B	A		POINT
547.428		F	T		STOP
547.429		F	V		START
590.288		B	A		POINT
597.725		B	A		POINT
622.92		B	A		POINT
637.547		B	A		POINT
650.231		B	A		POINT
650.906		B	P		POINT
676.525		B	P		POINT
